2025-07-23 20:33:32 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52/value HTTP/1.1" 200 0
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52/value {'text': 'm', 'value': ['m']}
2025-07-23 20:33:32 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52/value HTTP/1.1" 200 0
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52/value {'text': 'm', 'value': ['m']}
2025-07-23 20:33:32 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52/value HTTP/1.1" 200 0
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52/value {'text': 'y', 'value': ['y']}
2025-07-23 20:33:32 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52/value HTTP/1.1" 200 0
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:32 [[32m    INFO[0m] ActionPage: Заполнение поля ('css selector', '#modalAuthWindow > div > div > form.intReg.dialog > label:nth-child(4) > input[type=textfield]') текстом: Salas
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element {'using': 'css selector', 'value': '#modalAuthWindow > div > div > form.intReg.dialog > label:nth-child(4) > input[type=textfield]'}
2025-07-23 20:33:32 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element HTTP/1.1" 200 0
